start:7,1
end:7,7
underground:LAVA01
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,6,6,6,6,6,6,6,6,6,6,6,6,6,7
7,6,7,7,7,7,7,7,7,7,7,7,7,6,7
7,6,7,6,6,6,6,6,6,6,6,6,7,6,7
7,6,7,6,7,7,7,7,7,7,7,6,7,6,7
7,6,7,6,7,6,6,6,6,6,7,6,7,6,7
7,6,7,6,7,6,7,7,7,6,7,6,7,6,7
7,6,7,6,7,6,7,2,7,6,7,6,7,6,7
7,6,7,6,7,6,7,6,7,6,7,6,7,6,7
7,6,7,6,7,6,6,6,7,6,7,6,7,6,7
7,6,7,6,7,7,7,7,7,6,7,6,7,6,7
7,6,7,6,6,6,6,6,6,6,7,6,7,6,7
7,6,7,7,7,7,7,7,7,7,7,6,7,6,7
7,6,6,6,6,6,6,6,6,6,6,6,6,6,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
items
doors
enemies
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,3,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
